index,period,attendances,breaches,org_code
69,2017-03-01,6304,77,Y03571
70,2017-03-01,11780,1773,RTG
71,2017-03-01,4466,0,RTG
72,2017-03-01,5316,0,RY8
73,2017-03-01,1710,3,NNJ
74,2017-03-01,9376,2290,RWH
75,2017-03-01,4832,0,RWH
76,2017-03-01,615,1,NQ106
77,2017-03-01,6726,799,RLT
78,2017-03-01,2159,0,NTPAL
79,2017-03-01,2116,0,NEH06
80,2017-03-01,19628,3654,RR1
81,2017-03-01,3528,53,RR1
82,2017-03-01,987,15,RY4
83,2017-03-01,3766,405,RQQ
84,2017-03-01,7321,560,RGQ
85,2017-03-01,531,0,RGQ
86,2017-03-01,6301,318,RGP
87,2017-03-01,55,0,RGP
88,2017-03-01,7653,1546,RNQ
89,2017-03-01,451,0,C82038
90,2017-03-01,14325,142,RY5
91,2017-03-01,3886,80,NJS05
92,2017-03-01,8814,172,RC9
93,2017-03-01,4029,0,RC9
94,2017-03-01,368,0,C82009
95,2017-03-01,575,1,NLO11
96,2017-03-01,621,0,NLO09
97,2017-03-01,8163,1371,RQ8
98,2017-03-01,428,7,RQ8
99,2017-03-01,7692,887,RD8
100,2017-03-01,4697,10,RD8
101,2017-03-01,3822,0,Y02652
102,2017-03-01,10075,1372,RM1
103,2017-03-01,971,0,RM1
104,2017-03-01,7832,993,RGN
105,2017-03-01,828,0,RGN
106,2017-03-01,9027,1336,RNS
107,2017-03-01,1104,6,RNS
108,2017-03-01,5502,0,NMH01
109,2017-03-01,5046,459,NR3
110,2017-03-01,15446,3187,RX1
111,2017-03-01,1564,12,RX1
112,2017-03-01,220,0,RX1
113,2017-03-01,2994,17,NLO10
114,2017-03-01,272,0,C82010
115,2017-03-01,309,1,NLO12
116,2017-03-01,2300,0,Y02428
117,2017-03-01,14665,2828,RXK
118,2017-03-01,2087,39,RXK
119,2017-03-01,2783,0,RXK
120,2017-03-01,8842,599,RK5
121,2017-03-01,4169,26,RK5
122,2017-03-01,10371,2217,RXW
123,2017-03-01,1673,0,RXW
124,2017-03-01,1987,0,R1D
125,2017-03-01,5493,0,Y02615
126,2017-03-01,5572,198,RJC
127,2017-03-01,663,0,RJC
128,2017-03-01,8595,680,RAJ
129,2017-03-01,2009,0,Y02470
130,2017-03-01,3329,0,Y02961
131,2017-03-01,9006,679,RNA
132,2017-03-01,6393,0,RNA
133,2017-03-01,8737,1935,RQW
134,2017-03-01,5320,496,RCX
135,2017-03-01,11505,1651,RL4
136,2017-03-01,8651,104,RL4
137,2017-03-01,13111,2737,RWD
138,2017-03-01,10032,1543,RRK
139,2017-03-01,11986,3213,RKB
140,2017-03-01,2081,47,RKB
141,2017-03-01,2187,2,RKB
142,2017-03-01,12697,3227,RWE
143,2017-03-01,1850,19,RWE
144,2017-03-01,6073,69,RWE
145,2017-03-01,15129,4019,RJE
146,2017-03-01,429,0,RJE
147,2017-03-01,4774,91,RJE
148,2017-03-01,6360,1986,RBK
149,2017-03-01,3809,1,RBK
150,2017-03-01,4019,0,ATQ02
151,2017-03-01,8042,2644,RWG
152,2017-03-01,4023,3,RWG
153,2017-03-01,5887,419,RGR
154,2017-03-01,9976,2711,RWP
155,2017-03-01,5581,2,RWP
156,2017-03-01,4618,915,RLQ
157,2017-03-01,3060,0,RLQ
158,2017-03-01,7186,1449,REM
159,2017-03-01,7197,0,REM
160,2017-03-01,5480,379,RCF
161,2017-03-01,5349,216,RBS
162,2017-03-01,7146,537,RFF
163,2017-03-01,7064,2208,RXL
164,2017-03-01,9520,8,RXL
165,2017-03-01,8492,1563,RMC
166,2017-03-01,1072,1,RMC
167,2017-03-01,11362,864,RAE
168,2017-03-01,1635,2,NNF09
169,2017-03-01,8073,230,RY2
170,2017-03-01,12967,337,RWY
171,2017-03-01,13272,2106,RW3
172,2017-03-01,3620,18,RW3
173,2017-03-01,10219,28,RW3
174,2017-03-01,7844,795,RLN
175,2017-03-01,2497,8,RLN
176,2017-03-01,2729,2,RLN
177,2017-03-01,6019,922,RJR
178,2017-03-01,598,5,RJR
179,2017-03-01,10733,752,RXP
180,2017-03-01,10497,0,RXP
181,2017-03-01,1781,50,RNN
182,2017-03-01,11271,1035,RP5
183,2017-03-01,2715,0,RP5
184,2017-03-01,3998,704,RJN
185,2017-03-01,262,0,RJN
186,2017-03-01,8923,2562,RXR
187,2017-03-01,7884,401,RXR
188,2017-03-01,88,0,NNF28
189,2017-03-01,7781,409,RR7
190,2017-03-01,2448,3,RR7
191,2017-03-01,3975,135,RCD
192,2017-03-01,895,0,RCD
193,2017-03-01,11425,690,RWA
194,2017-03-01,1402,2,RWA
195,2017-03-01,1621,0,RV9
196,2017-03-01,5770,1793,RXN
197,2017-03-01,6424,208,RXN
198,2017-03-01,2559,0,Y01231
199,2017-03-01,18152,1844,RR8
200,2017-03-01,2100,0,RR8
201,2017-03-01,4280,0,Y02875
202,2017-03-01,2541,0,RY1
203,2017-03-01,1139,15,REP
204,2017-03-01,3222,0,Y01069
205,2017-03-01,5708,205,RBT
206,2017-03-01,1649,0,RBT
207,2017-03-01,20398,1515,RXF
208,2017-03-01,7821,1185,RNL
209,2017-03-01,5840,254,RVW
210,2017-03-01,1744,2,RVW
211,2017-03-01,2011,0,RTV
212,2017-03-01,6745,192,NLO01
213,2017-03-01,11630,2006,RJL
214,2017-03-01,1497,1,RJL
215,2017-03-01,8260,671,RTF
216,2017-03-01,8306,54,RTF
217,2017-03-01,22930,4997,RW6
218,2017-03-01,4301,96,RW6
219,2017-03-01,3463,0,RT2
220,2017-03-01,1042,0,AC008
221,2017-03-01,7715,2040,RQ6
222,2017-03-01,1761,28,RQ6
223,2017-03-01,10500,0,RQ6
224,2017-03-01,8898,1355,RM3
225,2017-03-01,3173,0,AXT02
226,2017-03-01,5440,227,RCU
227,2017-03-01,9335,2094,RHQ
228,2017-03-01,1364,0,RHQ
229,2017-03-01,6906,40,RHQ
230,2017-03-01,10362,558,RTR
231,2017-03-01,5164,0,RTR
232,2017-03-01,5071,99,RE9
233,2017-03-01,669,1,RE9
234,2017-03-01,6542,1384,RVY
235,2017-03-01,5161,6,RVY
236,2017-03-01,8808,1757,RBN
237,2017-03-01,5611,54,RBN
238,2017-03-01,8174,1652,RWJ
239,2017-03-01,7390,869,RMP
240,2017-03-01,10697,1131,RTD
241,2017-03-01,1997,40,RTD
242,2017-03-01,4685,0,RTD
243,2017-03-01,6515,1054,RFR
244,2017-03-01,4146,0,RFR
245,2017-03-01,8420,685,RM2
246,2017-03-01,7121,1411,RTX
247,2017-03-01,1823,75,RTX
248,2017-03-01,6890,953,RWW
249,2017-03-01,3827,39,RWW
250,2017-03-01,4696,29,RY7
251,2017-03-01,8068,1965,RBL
252,2017-03-01,2629,40,RBL
253,2017-03-01,452,0,AJN
254,2017-03-01,7741,936,RRF
255,2017-03-01,9036,1664,RCB
256,2017-03-01,6659,16,RCB
257,2017-03-01,8355,1383,RTK
258,2017-03-01,1581,0,RTK
259,2017-03-01,3368,3,Y02688
260,2017-03-01,3175,95,NQT10
261,2017-03-01,5523,0,RWX
262,2017-03-01,3280,1,Y04538
263,2017-03-01,12686,2158,RXH
264,2017-03-01,1177,1,RXH
265,2017-03-01,4636,1,NLW
266,2017-03-01,7101,873,RXQ
267,2017-03-01,1318,0,RXQ
268,2017-03-01,3611,15,RXQ
269,2017-03-01,2315,12,Y00058
270,2017-03-01,1194,0,NLT02
271,2017-03-01,8522,15,RJ8
272,2017-03-01,8866,904,RN7
273,2017-03-01,1823,1,RN7
274,2017-03-01,3607,69,RBD
275,2017-03-01,4019,2,RBD
276,2017-03-01,12737,3548,RVV
277,2017-03-01,5216,13,RVV
278,2017-03-01,9442,1822,RXC
279,2017-03-01,782,0,DD401
280,2017-03-01,20403,1745,RDU
281,2017-03-01,5799,22,R1J
282,2017-03-01,11503,2555,RTE
283,2017-03-01,6515,1826,RN3
284,2017-03-01,5725,89,RN3
285,2017-03-01,9087,410,RN5
286,2017-03-01,1206,0,RN5
287,2017-03-01,751,1,NDA57
288,2017-03-01,3477,788,R1F
289,2017-03-01,1523,0,R1F
290,2017-03-01,6501,3,RYY
291,2017-03-01,3682,1,NR5
292,2017-03-01,11963,1448,RWF
293,2017-03-01,1996,7,RWF
294,2017-03-01,10452,2351,RPA
295,2017-03-01,7222,844,RVJ
296,2017-03-01,3521,661,RBZ
297,2017-03-01,3911,0,RBZ
298,2017-03-01,179,0,L83087
299,2017-03-01,2955,106,RNU
300,2017-03-01,11198,1676,RTH
301,2017-03-01,1797,0,RTH
302,2017-03-01,711,0,NLX02
303,2017-03-01,8345,1284,RK9
304,2017-03-01,250,0,RK9
305,2017-03-01,5584,361,RD3
306,2017-03-01,1363,0,RD3
307,2017-03-01,9418,2688,RHU
308,2017-03-01,897,3,RHU
309,2017-03-01,2036,18,RHU
310,2017-03-01,910,1,RPC
311,2017-03-01,9380,594,RHW
312,2017-03-01,1495,5,RHW
313,2017-03-01,6059,1664,REF
314,2017-03-01,1521,25,REF
315,2017-03-01,8240,614,RH8
316,2017-03-01,712,0,RH8
317,2017-03-01,5854,205,RA2
318,2017-03-01,6218,1379,RD1
319,2017-03-01,941,12,RD1
320,2017-03-01,3807,303,RNZ
321,2017-03-01,325,0,RNZ
322,2017-03-01,1357,0,Y02666
323,2017-03-01,7026,40,RH5
324,2017-03-01,1293,0,RYF
325,2017-03-01,3970,2,NTP11
326,2017-03-01,2296,19,RW1
327,2017-03-01,4816,16,NTPAD
328,2017-03-01,8344,412,RTP
329,2017-03-01,8981,388,RDR
330,2017-03-01,5394,311,RBA
331,2017-03-01,203,0,AAH
332,2017-03-01,6326,428,RDZ
333,2017-03-01,1517,0,RDZ
334,2017-03-01,5933,503,RA9
335,2017-03-01,2804,0,RA9
336,2017-03-01,8622,1012,RHM
337,2017-03-01,1564,35,RHM
338,2017-03-01,9307,1869,RA7
339,2017-03-01,1947,16,RA7
340,2017-03-01,11417,515,RYR
341,2017-03-01,965,4,RYR
342,2017-03-01,4350,972,RA3
343,2017-03-01,2686,21,NDA56
344,2017-03-01,2311,0,G82071
345,2017-03-01,3167,13,NDA55
346,2017-03-01,1509,12,NLX24
347,2017-03-01,3963,62,RA4
348,2017-02-01,17917,2694,RF4
349,2017-02-01,616,4,RF4
350,2017-02-01,2673,20,RF4
351,2017-02-01,25955,6186,R1H
352,2017-02-01,651,0,R1H
353,2017-02-01,9882,172,R1H
354,2017-02-01,3768,2,AD913
355,2017-02-01,17023,144,RYX
356,2017-02-01,14482,1942,RQM
357,2017-02-01,6680,91,RQM
358,2017-02-01,5761,1374,RJ6
359,2017-02-01,3202,21,RJ6
360,2017-02-01,1016,0,Y02696
361,2017-02-01,2261,0,NX122
362,2017-02-01,10654,534,RVR
363,2017-02-01,484,2,RVR
364,2017-02-01,10683,1471,RJ1
365,2017-02-01,700,0,RJ1
366,2017-02-01,2634,5,RJ1
367,2017-02-01,3459,0,Y03082
368,2017-02-01,8790,507,RQX
369,2017-02-01,4088,1,RY9
370,2017-02-01,8452,2565,RYJ
371,2017-02-01,3672,13,RYJ
372,2017-02-01,9528,57,RYJ
373,2017-02-01,15070,3754,RJZ
374,2017-02-01,1880,1,RJZ
375,2017-02-01,4192,175,RJZ
376,2017-02-01,7677,1121,RAX
377,2017-02-01,915,0,RAX
378,2017-02-01,16054,3095,RJ2
379,2017-02-01,5012,0,RJ2
380,2017-02-01,10644,4616,R1K
381,2017-02-01,14585,109,R1K
382,2017-02-01,7527,100,RP6
383,2017-02-01,4539,35,RAT
384,2017-02-01,13091,2314,RAP
385,2017-02-01,757,0,Y02973
386,2017-02-01,425,0,AF003
387,2017-02-01,545,0,AF002
388,2017-02-01,16388,2485,RAL
389,2017-02-01,2831,0,RAL
390,2017-02-01,1797,0,Y03047
391,2017-02-01,11454,1178,RJ7
392,2017-02-01,1065,0,RJ7
393,2017-02-01,2297,0,F84747
394,2017-02-01,5179,2175,RAS
395,2017-02-01,7199,39,RAS
396,2017-02-01,2815,0,Y03094
397,2017-02-01,3141,0,E84068
398,2017-02-01,7431,995,RKE
399,2017-02-01,10584,1144,RRV
400,2017-02-01,8613,0,Y02147
401,2017-02-01,2295,0,Y03201
402,2017-02-01,5061,0,NL7
403,2017-02-01,2176,0,8J094
404,2017-02-01,10152,847,RDD
405,2017-02-01,5530,444,RC1
406,2017-02-01,2983,0,M85813
407,2017-02-01,4586,183,RQ3
408,2017-02-01,4493,498,RJF
409,2017-02-01,3670,1,RJF
410,2017-02-01,8094,2093,RGT
411,2017-02-01,2961,0,RGT
412,2017-02-01,5840,703,RFS
413,2017-02-01,1965,1,NQ108
414,2017-02-01,6371,779,RDE
415,2017-02-01,4320,0,RDE
416,2017-02-01,5635,30,Y03571
417,2017-02-01,9800,1367,RTG
418,2017-02-01,3725,6,RTG
419,2017-02-01,4114,1,RY8
420,2017-02-01,1648,0,NNJ
421,2017-02-01,8079,1935,RWH
422,2017-02-01,3890,0,RWH
423,2017-02-01,44,0,"NAX"
424,2017-02-01,493,0,NQ106
425,2017-02-01,5658,1015,RLT
426,2017-02-01,1847,0,NTPAL
427,2017-02-01,1723,1,NEH06
428,2017-02-01,16808,3902,RR1
429,2017-02-01,3062,49,RR1
430,2017-02-01,794,1,RY4
431,2017-02-01,3353,765,RQQ
432,2017-02-01,6478,723,RGQ
433,2017-02-01,373,0,RGQ
434,2017-02-01,5269,683,RGP
435,2017-02-01,90,0,RGP
436,2017-02-01,6587,1502,RNQ
437,2017-02-01,331,0,C82038
438,2017-02-01,12123,80,RY5
439,2017-02-01,3345,67,NJS05
440,2017-02-01,7677,199,RC9
441,2017-02-01,3285,0,RC9
442,2017-02-01,261,0,C82009
443,2017-02-01,551,1,NLO11
444,2017-02-01,500,1,NLO09
445,2017-02-01,6980,838,RQ8
446,2017-02-01,264,15,RQ8
447,2017-02-01,6430,1181,RD8
448,2017-02-01,4121,23,RD8
449,2017-02-01,3543,0,Y02652
450,2017-02-01,8464,2061,RM1
451,2017-02-01,764,0,RM1
452,2017-02-01,6853,1104,RGN
453,2017-02-01,673,0,RGN
454,2017-02-01,7796,1899,RNS
455,2017-02-01,921,6,RNS
456,2017-02-01,5082,0,NMH01
457,2017-02-01,4548,307,NR3
458,2017-02-01,13183,3028,RX1
459,2017-02-01,1413,22,RX1
460,2017-02-01,171,0,RX1
461,2017-02-01,2676,23,NLO10
462,2017-02-01,220,0,C82010
463,2017-02-01,250,0,NLO12
464,2017-02-01,2098,0,Y02428
465,2017-02-01,12951,3034,RXK
466,2017-02-01,1713,12,RXK
467,2017-02-01,2520,0,RXK
468,2017-02-01,7642,565,RK5
469,2017-02-01,3498,54,RK5
470,2017-02-01,8779,2497,RXW
471,2017-02-01,1525,0,RXW
472,2017-02-01,345,0,R1D
473,2017-02-01,1585,0,R1D
474,2017-02-01,5005,0,Y02615
475,2017-02-01,4651,225,RJC
476,2017-02-01,545,0,RJC
477,2017-02-01,7328,1079,RAJ
478,2017-02-01,1878,0,Y02470
479,2017-02-01,3314,0,Y02961
480,2017-02-01,7769,1064,RNA
481,2017-02-01,6072,0,RNA
482,2017-02-01,7459,2395,RQW
483,2017-02-01,4553,433,RCX
484,2017-02-01,9797,1689,RL4
485,2017-02-01,8131,156,RL4
486,2017-02-01,11196,2759,RWD
487,2017-02-01,8753,1654,RRK
488,2017-02-01,10339,2822,RKB
489,2017-02-01,1843,29,RKB
490,2017-02-01,1835,4,RKB
491,2017-02-01,10612,2793,RWE
492,2017-02-01,1606,26,RWE
493,2017-02-01,5349,34,RWE
494,2017-02-01,12948,3777,RJE
495,2017-02-01,377,0,RJE
496,2017-02-01,4003,38,RJE
497,2017-02-01,5593,1636,RBK
498,2017-02-01,3227,25,RBK
499,2017-02-01,3578,0,ATQ02
500,2017-02-01,7178,2324,RWG
501,2017-02-01,3218,1,RWG
502,2017-02-01,5050,812,RGR
503,2017-02-01,8647,2957,RWP
504,2017-02-01,4741,1,RWP
505,2017-02-01,3908,965,RLQ
506,2017-02-01,2698,0,RLQ
507,2017-02-01,6217,1713,REM
508,2017-02-01,6378,0,REM
509,2017-02-01,4577,254,RCF
510,2017-02-01,4536,137,RBS
511,2017-02-01,6281,943,RFF
512,2017-02-01,6229,2417,RXL
513,2017-02-01,8534,1,RXL
514,2017-02-01,7749,1231,RMC
515,2017-02-01,924,2,RMC
516,2017-02-01,9969,988,RAE
517,2017-02-01,1299,0,NNF09
518,2017-02-01,6887,105,RY2
519,2017-02-01,11252,737,RWY
520,2017-02-01,11747,2453,RW3
521,2017-02-01,3268,0,RW3
522,2017-02-01,8855,21,RW3
523,2017-02-01,7168,1242,RLN
524,2017-02-01,2117,26,RLN
525,2017-02-01,2368,2,RLN
526,2017-02-01,5275,713,RJR
527,2017-02-01,576,5,RJR
528,2017-02-01,9468,1603,RXP
529,2017-02-01,9653,0,RXP
530,2017-02-01,1526,37,RNN
531,2017-02-01,9793,1360,RP5
532,2017-02-01,2268,0,RP5
533,2017-02-01,3436,775,RJN
534,2017-02-01,173,0,RJN
535,2017-02-01,7824,2365,RXR
536,2017-02-01,5405,295,RXR
537,2017-02-01,84,0,NNF28
538,2017-02-01,6572,387,RR7
539,2017-02-01,2130,1,RR7
540,2017-02-01,3290,208,RCD
541,2017-02-01,724,0,RCD
542,2017-02-01,9827,1957,RWA
543,2017-02-01,1061,0,RWA
544,2017-02-01,1247,2,RV9
545,2017-02-01,5084,1506,RXN
546,2017-02-01,5446,201,RXN
547,2017-02-01,1971,0,Y01231
548,2017-02-01,15978,2830,RR8
549,2017-02-01,1678,0,RR8
550,2017-02-01,3693,0,Y02875
551,2017-02-01,2172,0,RY1
552,2017-02-01,985,17,REP
553,2017-02-01,2716,0,Y01069
554,2017-02-01,4861,410,RBT
555,2017-02-01,1303,0,RBT
556,2017-02-01,17442,3092,RXF
557,2017-02-01,6822,945,RNL
558,2017-02-01,5220,481,RVW
559,2017-02-01,1321,2,RVW
560,2017-02-01,1728,0,RTV
561,2017-02-01,6039,256,NLO01
562,2017-02-01,9989,2698,RJL
563,2017-02-01,1153,1,RJL
564,2017-02-01,7094,1223,RTF
565,2017-02-01,6855,44,RTF
566,2017-02-01,20121,5159,RW6
567,2017-02-01,3991,115,RW6
568,2017-02-01,3123,0,RT2
569,2017-02-01,6775,2290,RQ6
570,2017-02-01,1422,0,RQ6
571,2017-02-01,9257,0,RQ6
572,2017-02-01,7598,1723,RM3
573,2017-02-01,2596,0,AXT02
574,2017-02-01,4342,112,RCU
575,2017-02-01,8460,2947,RHQ
576,2017-02-01,1093,0,RHQ
577,2017-02-01,6264,0,RHQ
578,2017-02-01,8954,933,RTR
579,2017-02-01,4714,0,RTR
580,2017-02-01,4414,285,RE9
581,2017-02-01,597,2,RE9
582,2017-02-01,5712,1228,RVY
583,2017-02-01,4584,9,RVY
584,2017-02-01,7740,2008,RBN
585,2017-02-01,5103,59,RBN
586,2017-02-01,6831,1695,RWJ
587,2017-02-01,6352,835,RMP
588,2017-02-01,9419,997,RTD
589,2017-02-01,1590,14,RTD
590,2017-02-01,4333,0,RTD
591,2017-02-01,5567,1417,RFR
592,2017-02-01,3961,0,RFR
593,2017-02-01,7435,964,RM2
594,2017-02-01,6113,1385,RTX
595,2017-02-01,1486,45,RTX
596,2017-02-01,5985,1428,RWW
597,2017-02-01,3418,30,RWW
598,2017-02-01,4098,64,RY7
599,2017-02-01,7050,2076,RBL
600,2017-02-01,2280,13,RBL
601,2017-02-01,368,0,AJN
602,2017-02-01,6605,1063,RRF
603,2017-02-01,7930,2504,RCB
604,2017-02-01,5630,15,RCB
605,2017-02-01,7498,1503,RTK
606,2017-02-01,1387,0,RTK
607,2017-02-01,3139,3,Y02688
608,2017-02-01,3112,0,NQT10
609,2017-02-01,4918,0,RWX
610,2017-02-01,2574,1,Y04538
611,2017-02-01,11012,2366,RXH
612,2017-02-01,1059,10,RXH
613,2017-02-01,4101,1,NLW
614,2017-02-01,6153,1161,RXQ
615,2017-02-01,1187,0,RXQ
616,2017-02-01,3155,17,RXQ
617,2017-02-01,2003,31,Y00058
618,2017-02-01,981,0,NLT02
619,2017-02-01,7016,25,RJ8
620,2017-02-01,7750,1313,RN7
621,2017-02-01,1484,0,RN7
622,2017-02-01,3084,192,RBD
623,2017-02-01,3264,2,RBD
624,2017-02-01,10975,3700,RVV
625,2017-02-01,4554,36,RVV
626,2017-02-01,7951,1903,RXC
627,2017-02-01,718,0,DD401
628,2017-02-01,17357,1527,RDU
629,2017-02-01,4755,11,R1J
630,2017-02-01,9772,2248,RTE
631,2017-02-01,5913,2076,RN3
632,2017-02-01,4568,42,RN3
633,2017-02-01,7789,1022,RN5
634,2017-02-01,1004,0,RN5
635,2017-02-01,575,11,NDA57
636,2017-02-01,3039,600,R1F
637,2017-02-01,1046,0,R1F
638,2017-02-01,5201,8,RYY
639,2017-02-01,3181,2,NR5
640,2017-02-01,10386,1789,RWF
641,2017-02-01,1619,0,RWF
642,2017-02-01,8460,2016,RPA
643,2017-02-01,6160,1128,RVJ
644,2017-02-01,3116,522,RBZ
645,2017-02-01,3404,0,RBZ
646,2017-02-01,119,0,L83087
647,2017-02-01,2343,33,RNU
648,2017-02-01,9816,2005,RTH
649,2017-02-01,1478,0,RTH
650,2017-02-01,515,0,NLX02
651,2017-02-01,7229,1085,RK9
652,2017-02-01,217,0,RK9
653,2017-02-01,4830,414,RD3
654,2017-02-01,1059,0,RD3
655,2017-02-01,7901,2493,RHU
656,2017-02-01,785,1,RHU
657,2017-02-01,1430,3,RHU
658,2017-02-01,702,1,RPC
659,2017-02-01,8112,817,RHW
660,2017-02-01,1238,1,RHW
661,2017-02-01,5324,1324,REF
662,2017-02-01,1255,12,REF
663,2017-02-01,7214,637,RH8
664,2017-02-01,688,0,RH8
665,2017-02-01,4979,307,RA2
666,2017-02-01,5272,1229,RD1
667,2017-02-01,793,11,RD1
668,2017-02-01,3223,543,RNZ
669,2017-02-01,325,0,RNZ
670,2017-02-01,1207,0,Y02666
671,2017-02-01,5779,13,RH5
672,2017-02-01,1110,0,RYF
673,2017-02-01,4103,6,NTP11
674,2017-02-01,1844,7,RW1
675,2017-02-01,4164,3,NTPAD
676,2017-02-01,7142,647,RTP
677,2017-02-01,6993,136,RDR
678,2017-02-01,4751,332,RBA
679,2017-02-01,139,0,AAH
680,2017-02-01,5527,441,RDZ
681,2017-02-01,1328,2,RDZ
682,2017-02-01,5146,809,RA9
683,2017-02-01,2341,0,RA9
684,2017-02-01,7349,1528,RHM
685,2017-02-01,1375,37,RHM
686,2017-02-01,7904,1816,RA7
687,2017-02-01,1603,16,RA7
688,2017-02-01,9715,659,RYR
689,2017-02-01,981,9,RYR
690,2017-02-01,3683,1125,RA3
691,2017-02-01,2416,20,NDA56
692,2017-02-01,1857,0,G82071
693,2017-02-01,2743,7,NDA55
694,2017-02-01,1243,2,NLX24
695,2017-02-01,3374,133,RA4
696,2017-01-01,20430,5247,RF4
697,2017-01-01,632,7,RF4
698,2017-01-01,3227,19,RF4
699,2017-01-01,28420,7426,R1H
700,2017-01-01,598,34,R1H
701,2017-01-01,11699,168,R1H
702,2017-01-01,4260,0,AD913
703,2017-01-01,19019,217,RYX
704,2017-01-01,16920,3141,RQM
705,2017-01-01,7349,73,RQM
706,2017-01-01,6618,1438,RJ6
707,2017-01-01,3472,71,RJ6
708,2017-01-01,1238,0,Y02696
709,2017-01-01,2202,0,NX122
710,2017-01-01,11643,652,RVR
711,2017-01-01,487,0,RVR
712,2017-01-01,11677,1840,RJ1
713,2017-01-01,701,0,RJ1
714,2017-01-01,2903,6,RJ1
715,2017-01-01,3892,0,Y03082
716,2017-01-01,10039,710,RQX
717,2017-01-01,4313,4,RY9
718,2017-01-01,9744,3197,RYJ
719,2017-01-01,3585,13,RYJ
720,2017-01-01,11007,123,RYJ
721,2017-01-01,16752,4887,RJZ
722,2017-01-01,2045,1,RJZ
723,2017-01-01,4713,234,RJZ
724,2017-01-01,8628,1652,RAX
725,2017-01-01,879,0,RAX
726,2017-01-01,17998,4454,RJ2
727,2017-01-01,5481,164,RJ2
728,2017-01-01,11961,5897,R1K
729,2017-01-01,16918,199,R1K
730,2017-01-01,7764,101,RP6
731,2017-01-01,5180,124,RAT
732,2017-01-01,14751,3543,RAP
733,2017-01-01,838,0,Y02973
734,2017-01-01,417,0,AF003
735,2017-01-01,560,0,AF002
736,2017-01-01,18559,3690,RAL
737,2017-01-01,3151,1,RAL
738,2017-01-01,2037,0,Y03047
739,2017-01-01,12656,1879,RJ7
740,2017-01-01,1352,0,RJ7
741,2017-01-01,2592,0,F84747
742,2017-01-01,5686,2776,RAS
743,2017-01-01,8107,63,RAS
744,2017-01-01,3106,0,Y03094
745,2017-01-01,3732,0,E84068
746,2017-01-01,8255,1414,RKE
747,2017-01-01,11130,1517,RRV
748,2017-01-01,10009,0,Y02147
749,2017-01-01,2670,0,Y03201
750,2017-01-01,5358,0,NL7
751,2017-01-01,11165,1385,RDD
752,2017-01-01,6024,555,RC1
753,2017-01-01,3352,0,M85813
754,2017-01-01,5130,248,RQ3
755,2017-01-01,5150,1157,RJF
756,2017-01-01,3995,0,RJF
757,2017-01-01,8801,2361,RGT
758,2017-01-01,3008,1,RGT
759,2017-01-01,6644,1393,RFS
760,2017-01-01,2130,2,NQ108
